,uri,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
10008,spotify:track:2n2PrSqZeDQB19NSgO01YP,0.688,0.71,2.0,-7.124,1.0,0.0245,0.15,0.0,0.35700000000000004,0.66,110.005,226147.0,4.0
10009,spotify:track:6moMzduIjCcDfZhrdKC6rm,0.799,0.473,1.0,-9.033999999999999,1.0,0.0412,0.07,0.589,0.0947,0.718,120.0,250752.0,4.0
10010,spotify:track:72lGJyqmLUJQEhUOzwCFQF,0.48700000000000004,0.5760000000000001,5.0,-6.914,1.0,0.0312,0.132,0.0,0.0973,0.368,123.53299999999999,204253.0,4.0
10011,spotify:track:3VVrToOB32gc8vtagtbBcg,0.435,0.105,2.0,-13.222999999999999,1.0,0.0338,0.982,0.0011300000000000001,0.0932,0.0981,105.229,249347.0,4.0
10012,spotify:track:1XMx2GqoBun1mDW0UQjbnZ,0.377,0.84,0.0,-5.4270000000000005,1.0,0.0341,0.0168,0.00187,0.121,0.637,150.019,143005.0,4.0
10013,spotify:track:4Wc9YdX4m5OrOn4X2St5Gq,0.501,0.48100000000000004,7.0,-9.316,1.0,0.0255,0.359,0.00518,0.105,0.38299999999999995,142.785,321755.0,4.0
10014,spotify:track:46gYFkuyyqTOxRwX5jOMdp,0.456,0.26,4.0,-11.661,1.0,0.0397,0.812,0.0,0.21600000000000003,0.151,133.377,383800.0,4.0
10015,spotify:track:0mhC8M1F0bFimTwQq0GA0f,0.568,0.297,1.0,-16.677,0.0,0.0323,0.358,0.00022,0.0811,0.0398,92.885,377920.0,4.0
10016,spotify:track:1hoYvvq8W0evX0PlG4c6ji,0.6970000000000001,0.525,2.0,-9.82,1.0,0.0389,0.7290000000000001,0.7809999999999999,0.0735,0.7020000000000001,92.546,219360.0,3.0
10017,spotify:track:2Wepy4cNBEbzRyF5dWoaIr,0.498,0.305,9.0,-13.34,0.0,0.0378,0.504,0.0,0.105,0.315,126.56700000000001,141800.0,4.0
10018,spotify:track:7hcY5atEPXolAlKkNZEjMQ,0.591,0.506,7.0,-9.88,1.0,0.031,0.648,0.000791,0.0724,0.601,110.62799999999999,169427.0,4.0
10019,spotify:track:11vH48KCMGErKm6HIAX2sx,0.5820000000000001,0.263,2.0,-13.317,1.0,0.033,0.782,0.00179,0.332,0.532,149.125,162440.0,4.0
